engine_id,month,shop_start
E01,1,0
E01,2,0
E01,3,0
E01,4,0
E01,5,0
E01,6,0
E01,7,0
E01,8,0
E01,9,0
E01,10,0
E01,11,1
E01,12,0
E02,1,0
E02,2,0
E02,3,0
E02,4,0
E02,5,0
E02,6,0
E02,7,1
E02,8,0
E02,9,0
E02,10,0
E02,11,0
E02,12,0
E03,1,0
E03,2,0
E03,3,0
E03,4,0
E03,5,0
E03,6,0
E03,7,0
E03,8,0
E03,9,1
E03,10,0
E03,11,0
E03,12,0
E04,1,1
E04,2,0
E04,3,0
E04,4,0
E04,5,0
E04,6,0
E04,7,0
E04,8,0
E04,9,0
E04,10,0
E04,11,0
E04,12,0
E05,1,0
E05,2,0
E05,3,0
E05,4,0
E05,5,0
E05,6,0
E05,7,0
E05,8,0
E05,9,0
E05,10,0
E05,11,0
E05,12,0
E06,1,0
E06,2,0
E06,3,0
E06,4,0
E06,5,0
E06,6,0
E06,7,1
E06,8,0
E06,9,0
E06,10,0
E06,11,0
E06,12,0
E07,1,0
E07,2,0
E07,3,0
E07,4,0
E07,5,0
E07,6,0
E07,7,0
E07,8,0
E07,9,0
E07,10,0
E07,11,0
E07,12,0
E08,1,0
E08,2,0
E08,3,1
E08,4,0
E08,5,0
E08,6,0
E08,7,0
E08,8,0
E08,9,0
E08,10,0
E08,11,0
E08,12,0
E09,1,0
E09,2,0
E09,3,0
E09,4,0
E09,5,0
E09,6,0
E09,7,0
E09,8,0
E09,9,0
E09,10,0
E09,11,0
E09,12,0
E10,1,0
E10,2,0
E10,3,0
E10,4,0
E10,5,1
E10,6,0
E10,7,0
E10,8,0
E10,9,0
E10,10,0
E10,11,0
E10,12,0
E11,1,0
E11,2,0
E11,3,0
E11,4,0
E11,5,0
E11,6,0
E11,7,0
E11,8,0
E11,9,1
E11,10,0
E11,11,0
E11,12,0
E12,1,0
E12,2,0
E12,3,0
E12,4,0
E12,5,1
E12,6,0
E12,7,0
E12,8,0
E12,9,0
E12,10,0
E12,11,0
E12,12,0
E13,1,0
E13,2,0
E13,3,0
E13,4,0
E13,5,0
E13,6,0
E13,7,0
E13,8,0
E13,9,0
E13,10,0
E13,11,1
E13,12,0
E14,1,0
E14,2,0
E14,3,0
E14,4,0
E14,5,0
E14,6,0
E14,7,1
E14,8,0
E14,9,0
E14,10,0
E14,11,0
E14,12,0
E15,1,0
E15,2,0
E15,3,0
E15,4,0
E15,5,0
E15,6,0
E15,7,0
E15,8,0
E15,9,0
E15,10,0
E15,11,0
E15,12,0
E16,1,0
E16,2,0
E16,3,1
E16,4,0
E16,5,0
E16,6,0
E16,7,0
E16,8,0
E16,9,0
E16,10,0
E16,11,0
E16,12,0
